"x"
"아이들과 보러갔다 내가 더 신난 영화~  "
"실사화 너무 재밌어요ㅠㅠ  "
"관람객노래.  정말. 좋아요. 아이도.잼있어 하고.   다시꼭 보고싶으데요  "
"Ost와 어우러지는 영상미에 러닝타임 내내 감탄했다 동화 속에 있는 기분!!  "
"너무 재밌어요 ♥? 인생영화등극  "
"추억의 알라딘 너무 재미있어요.  "
"관람객역시 디즈니... 지니를 기대하면서 갔지만 자스민에게 푹 빠져버렸다!  "
"관람객재미있네요대단한 연출력이네요  "
"관람객존나짱입니다 최면에걸린듯 자꾸만 따라하게되는..프린스알리패뷸러스히알리아바브와  "
"윌스미스가 살렸다흥부자행님ㅋㅋ  "
"에뤠비안 나~~~잍 귓가에 계속 맴돌아 중독되었네요.. 영화두번봤고 다시봐도 잼나더이다 어서막내리기전에 서둘러 보세요 두번보세요~~  "
"관람객재밌었어요. 예전 생각도 나고 좋네요. ^^  "
"관람객시간가는줄몰랐습니다  "
"관람객주인공 세 명 다 멋진 영화를 만들어주었어요~  "
"관람객기대 안하고 보면 최고인 영화  "
"너무신나는영화 또보고싶어요  "
"동심으로 돌아간듯 너무 즐거웠어요. 최고입니다  "
"관람객큰기대안하고 보러갔는데 너무 재밌게 봤어요!! 나와서 바로 나왔던노래 다시듣고 다시한번보고싶어요~~  "
"관람객개인적으로는 자스민 레아살롱가 가 더 좋음~  "
"관람객화려한 볼거리로 무장한 동심  "
"관람객윌스미스는 사실 지니엿던거임..  "
"벌써 3회차네요 조만간 또 보려구요! 안본분들 고민하지말고 빨리 보세요!!!  "
"관람객디즈니는 그냥 굿이지 ㅋㅋㅋ  "
"관람객다들아는내용이지만 너무 잼나게봤음요..  "
"관람객음악부터 영상미까지 개인적으로 너무재밌게봤습니다.  "
"관람객조카때문에 한번 더 봤다. 두번째는 더빙으로 봤는데 생각보다 괜찮네요! 더빙도!  "
"관람객배우들의 노래 실력과 연기가 너무 좋아 몰입도 최고였습니다.  "
"관람객배우 섭외가 기가 막혔습니다~ 너무 재밌게 봤네요~  "
"평소 호불호가 잘 갈리는 관람자인데요. 이 영화는 호불호가 안 갈리고 대중성있는 영화라고 말하고 싶어요. 절대적으로 [4dx]로 보세요. 돈 하나도 안아까웠어요. 진짜 4배 더 재밌어요. [4dx]를 염두에두고 나온영화 아니야?랄정도 에요.  "
"관람객알면서도. 집중하게 되는!!  "
"관람객재미있게 잘봤습니다 ~  "
"아 진짜 보는 내내 행복했어요.. 감사합니다  "
"처음 만화영화 나왔을때 a whole new world 노래 너무 좋아서 한글발음으로 적어가며 외워 불렀던 노랜데 24년만에 다시 실사영화로 보니 아직도 기억나서 더 감개무량했습니다. 자스민 공주 분노에 차서 부르는 노래가 압권이었어요. 꼭 극장에서  "
"최고의 영화 2번을 봤는데도 또 돈 주고 보고 싶은 영화  "
"배경음악도 좋고 감동 그 자체.. ㅜㅜ 마지막에 윌 스미스  소원대로  지니에서 평범한 사람으로 돌아왔을때 나도 모르게  눈물이  났다..ㅜㅜ  "
"내용이야 뻔하고 그냥 눈이 즐거웠던 영화.  "
"관람객재밌게 봤어요. 추천합니다!!  "
"아름답고 감동적인 그림같은 영화,좋은사람과 보면 더 좋은 로맨틱한 영화,왠만한 오페라나 뮤지컬에 뒤쳐지지 않는 작품이되는 영화??  "
"다시 보고시푸 ㅠㅠ이번년도 최고의 영화  "
"관람객상상력들 풍부합니다. 재미있었어요  "
"후유증 오래갈거 같다..  "
"모든게 완벽함  진짜 행복하게 만들어주는 영화  "
"배우들의 연기와 노래가 머릿속에서 잊혀지지 않아요 올해 최고의 영화!!  "
"감동이 며칠을 가네요..너무좋은영화  "
"화려한 영상미와 배우들의 캐미,연기력까지 나무랄때 없는 최고의 실사영화라 생각해요!!n회차 찍은거 처음인데 알라딘 한번보고 집에 오면 노래가 생각나서 듣게 되고 노래를 들으면 또 영화가 보고싶어지는,,무한반복!!영화 내리기전에 한번 꼭 보세요  "
"관람객너무 재밌게 정신없이 빠져들어 봤습니다. 지루한 부분이 없내요. 역시 꿀잼  "
"자스민이 speechless 부를 때 소름이 돋고 눈물이 나왔다.. 전율이 온다는 게 이런거구나 느낌. 영화 너무 재밌어..  "
"관람객한번더 보고싶네요~~  "
"관람객Speechless  "
"음 이정도면 훌륭하다. 잘 만들었고 지니가 말하는 이야기들 굉장히 철학적이다. 우리가 원하는 소원들은 겉모습은 바꿀지 모르지만 그 내부까지는 바꾸지 못한다.  "
"너무재미있다..최고임  "
"관람객ost가 자꾸 귀에 맴돌아 밖에서도 들리는거같아  "
"윌스미스 당신 이런 사람이었어?너무 매력넘치는구만  "
"최고다. 올해 본 영화 중 단연 최고다.  "
"관람객N회차 관람이 너무도 당연한 영화입니다  무조건 추천  "
"또 보고싶다...알라딘2나온다는 말 있던데, 나오면 배우들 그대로 나왔음 좋겠다!!  "
"관람객보통 최신 기술로 작품을 만들면 ㅇ히려 재미가 반감되는 경우가 있는데 이거는 매우 잘 만듦  "
"관람객영화도 아름답고 노래도 넘 좋았다.보는 내내 즐거웠음  "
"관람객재밌었어요또보고싶어요  "
"말이 필요없다...!!!  "
"관람객모든것이 완벽했던..배우들의 연기력,호흡,스토리, 연출,미술..OST까지.. 뭐 하나 흠잡을데가 없는?♂??♂?  "
"기대를 너무 많이 했나봐...  "
"알라딘 갓띵작...살앙해요 ㅜㅜ  "
"관람객윌스미스를 다시보게 된 영화~  "
"재밌고 아름다운데 좀 오글거린다ㅋ  "
"너무너무너무너무재밋당  "
"남주 여주 다 대박이예염  "
"최고최고!! 안봤으면 진짜 후회했을 영화 !눈이 즐겁고 저절로 웃으면서 보게되고 유쾌하고 신나고 시간이 너무 빠르게 지나간 영화 거기에 마지막에 감동까지 더해져서 나에게 완벽했던 영화고 리뷰 남기는 것도 알라딘이 처음임 ㅠㅠ 무조건 추천하는 영화  "
"관람객윌스미스지니는 신의 한수  "
"진짜 디즈니는 믿고본다 영화 진짜 잘 만들어 겨울왕국2  벌써 기대된다  "
"관람객음악과 스토리 모두 좋아요  "
"너무 재밌어요 감동적이었어요 계속 맴돌아요  "
"관람객디즈니영화중 실사로는  최고입니다  "
"알라딘 넘 재밌어용! 꼭 영화관가서 보세요 ㅎㅎ  "
"별 기대 안 하고 원작 만화 생각하면서 봤는디 존잼..  "
"관람객재밌어요짱짱짱 요즘ost  "
"생각없이 웃고본면 된다.  "
"33살 아저씨가 어릴때의 감동을 2시간동안 회상해서 행복했습니다  "
"관람객윌스미스 넘나 좋아ㅜㅜ  "
"어렸을적 보았던 만화영화의 감성만을 자극시키는 영화 어색한 연기, 유치한 스토리,  개연성 부족한 짜임새 등을화려한 장면과 노래, 그리고 진취적인 스토리로 포장한 그저그런 디즈니 영화...13살이 넘었는데 이영화가 너무 재밌었다면... 당신은.  "
"원작을뛰어넘은 실사판은처음본다  "
"관람객초6학년 아들이 개인 컴퓨터에 소장 하고 싶을 정도로 잼나다고  합니다  "
"진짜 최고의 영화였다. 다시 보고 싶을만큼 또 보고싶었고 노래랑 분의기가 장난 아니였다.소름이 쫙 돋더라♥♥ 본지 꽤 됬는데 아직까지도 강랼히 남아있다.배우들이 연기가 정말 짱인듯 하다  "
"ㅠㅠ 진짜 실사화 영화중에 최고라해도 과언이 아님  "
"그냥 한마디로 완벽..  "
"관람객지니역의 윌스미스가 너무나 흥에겨워나도모르게 흥겨워 즐거워함자스민 공주또한 넘이쁨~  "
"관람객온가족아 보기에 최고의 영화였어요 ㅎㅎ  "
"보통 이런 영화 안좋아하는데 향수를 불러 일으켜서 좋았습니다.  "
"관람객정말 최고예요. 원작도 좋아했고 뮤지컬도 봤는데, 기대이상이네요.  "
"이거ㅜㅜ안보면 몰라요 알라딘이든 지니든 자스민이든이거 캐스팅부터 대박인거임  "
"관람객윌 스미스가 하드캐리한 영화 같았다. 그 외에는 조금 아쉬운 부분이 많았다..  "
"관람객700만 관객이 들만큼은 재밌나봐요 기본 빵은 함  "
"나오미 스콧(재스민)의 speechless는 2012 ‘레미제라블’의 앤 해서웨이, 2014 ‘겨울왕국’의 이디나 멘젤, 2017 ‘라라랜드’의 엠마스톤을 떠올릴 만큼 영화 전체를 지배하고 기억하게끔 하는 강렬한 순간을 선물한다. 음악으로 기억될 영화  "
"진짜 재밌었음 ost도 다 좋고  "
"지니 때문에 너무 재미있게 봤어요~~~~  "
"디즈니도 이상해졌네.  "
"몇번을 봤는데도 볼때마다 소름돋는다ㅠㅠ  "
"관람객캬.. 또 볼 거임 진심 너무 재밌음  "
"관람객스토리.연기.ost ..모든게 완벽했다...  "
"관람객친구 추천 받아서 갔는데 처돌이 돼서 한 4번 봤습니다 너무 재밌어요  "
"관람객영화를 볼 때 한 번 더 봐야지~ 하는 마음 잘 안드는데  너무 재미있어서 여러번 보고 싶음  "
"갸꿀띠 존잼 오늘 심야 또보러감ㄷㅏ  "
"이제야 봐버린 알라딘.. 엄청 기대했던만큼 너무 좋았어요 자스민의 스피치리스 장면은 절대 못잊을거 같아요 이 장면 때문에 또 보러가고싶음ㅠㅠ 실사화 하나도 안어색하고 이게 원작같을정도예요 진짜 동화 속에 들어갔다 온 기분 너무 행복했어요!!  "
"관람객예전에 애니메이션으로 들었던 노래들을 실사를 통해 다시 들을 수 있어서  좋았어요^^  "
"관람객영화가 아닌 뮤지컬 보는 기분으로 봤음.  A whole new world 부를땐 추억돋더라ㅋㅋ 초딩때 겜에서 듣던 노래가 이거였구나~    띵작임  "
"귀호강 > 눈호강 ~~ 호강 천지다~~ 너무 좋다~ ^0^   근데.. 알라딘 얼굴에서 가끔 유세윤 얼굴이 보여서 몰입이 가끔 흐트러지는건 나뿐인가??  ^^;;;  "
"윌스미스와 주인공들의 뮤지칼 환타지에 반했어요...  "
"지니 그 자체 윌스미스다  "
"중반이후에 약간 아쉬운 장면들이 있었으나전반적으로 엄청 볼만하고 재미있는 영화였습니다. 자스민 공주도 넘나 매력적임  "
"관람객원작을 뛰어넘는 뭔가가 있음  "
"최고..스토리..음악.영상미..어릴적 신드밧드의모험속으로 빠져드는 마음이 젊어지는 느낌..  "
"늙어서 그런가 ㅋ 하나의 뮤지컬만 보고 온거 같아요  "
"영호보기전에 누가 알라딘이 40대 같다고 했을때뭔가 했는데 첫장면에서 얼아차림 ㅋㅋ 그래도 재밌었고, 쟈스민이 그 장군한테 정신차리라고 노래불러제낄때 눈물 남 ㅜ.ㅜ 나만 그래?  "
"안보면 후회합니다. 또 보고 싶네요  "
"관람객스미스형님. 색감. 음악. 모든것이 최고였던 영화  "
"상상을 초월한 고컬ㄷㄷ  "
"아이와 함께 신나게 볼 수 있는 최고의 영화  "
